Time	Press	Temp	RH	Alt	Dewp	Dir
280	-3.4	6.7	-4.7	-75.46625	37.83735	1212.4
279	-2.3	6.1	-4.7	-75.46619	37.83733	1217.6
277	-1.3	5.7	-4.7	-75.46613	37.83731	1222.3
276	-0.4	5.8	-4.8	-75.46606	37.83731	1226.9
274	0.3	6.2	-4.8	-75.46600	37.83731	1231.3
272	0.8	6.7	-4.9	-75.46593	37.83732	1236.2
270	1.2	7.1	-5.0	-75.46585	37.83734	1241.5
268	1.8	7.8	-5.2	-75.46577	37.83736	1246.5
266	1.9	8.5	-4.7	-75.46567	37.83737	1251.0
264	2.1	9.1	-4.6	-75.46557	37.83739	1255.3
262	2.0	9.4	-5.1	-75.46546	37.83741	1260.2
261	1.6	9.1	-5.1	-75.46536	37.83743	1265.4
259	1.6	8.6	-5.0	-75.46525	37.83745	1270.7
258	1.6	8.1	-4.6	-75.46516	37.83746	1275.2
258	1.9	7.7	-4.5	-75.46507	37.83748	1280.6
258	1.9	7.5	-4.6	-75.46499	37.83751	1285.3
258	1.7	7.3	-5.1	-75.46490	37.83752	1290.0
258	1.3	7.1	-4.9	-75.46482	37.83753	1294.9
259	1.0	6.7	-4.8	-75.46475	37.83754	1299.2
260	1.0	6.7	-4.7	-75.46467	37.83756	1303.9
261	1.3	7.0	-4.8	-75.46460	37.83757	1309.1
262	1.6	7.4	-4.9	-75.46451	37.83758	1314.3
263	1.9	8.2	-4.8	-75.46442	37.83759	1318.9
264	1.8	9.0	-4.4	-75.46432	37.83761	1323.3
266	1.8	9.6	-4.8	-75.46421	37.83763	1328.0
267	1.3	9.9	-4.8	-75.46410	37.83764	1332.5
268	0.9	10.0	-4.5	-75.46398	37.83765	1337.1
270	0.7	10.3	-5.1	-75.46387	37.83766	1341.8
272	0.3	10.8	-5.8	-75.46375	37.83766	1347.6
274	-0.4	10.9	-5.4	-75.46362	37.83766	1353.3
275	-0.9	11.2	-4.6	-75.46349	37.83765	1358.5
277	-1.8	11.7	-5.7	-75.46335	37.83764	1364.6
280	-3.1	11.1	-6.5	-75.46321	37.83761	1371.0
282	-3.8	9.5	-6.3	-75.46310	37.83758	1377.2
284	-3.7	7.7	-5.7	-75.46300	37.83754	1382.5
286	-3.0	6.1	-5.2	-75.46293	37.83751	1387.9
288	-1.7	5.5	-5.4	-75.46287	37.83749	1392.9
290	-0.8	6.1	-5.3	-75.46281	37.83749	1398.3
291	-0.5	7.5	-4.8	-75.46273	37.83749	1403.2
293	-1.5	9.1	-5.1	-75.46263	37.83748	1407.9
294	-3.3	9.9	-5.5	-75.46252	37.83746	1413.4
294	-4.9	9.8	-5.4	-75.46240	37.83742	1419.2
295	-6.2	9.5	-5.0	-75.46229	37.83737	1424.4
295	-6.6	9.0	-4.7	-75.46219	37.83731	1429.3
295	-6.7	8.0	-4.7	-75.46209	37.83725	1434.3
295	-6.9	7.4	-4.5	-75.46200	37.83718	1438.6
294	-7.3	8.0	-4.6	-75.46192	37.83712	1442.9
294	-6.9	9.0	-5.2	-75.46182	37.83705	1448.2
293	-6.0	10.7	-5.0	-75.46170	37.83700	1453.2
292	-4.4	11.9	-4.8	-75.46157	37.83696	1458.4
292	-3.1	12.5	-5.0	-75.46143	37.83693	1463.7
291	-2.7	12.2	-4.9	-75.46129	37.83690	1468.4
291	-2.7	12.6	-5.0	-75.46115	37.83688	1473.6
291	-2.5	12.8	-5.5	-75.46100	37.83686	1478.5
290	-2.2	12.3	-5.2	-75.46086	37.83684	1484.3
291	-1.5	11.2	-4.8	-75.46073	37.83683	1489.3
291	-0.9	9.9	-5.1	-75.46061	37.83682	1494.3
292	-1.1	8.6	-5.0	-75.46051	37.83681	1499.7
293	-2.0	7.6	-5.2	-75.46042	37.83680	1504.4
294	-3.1	7.1	-5.1	-75.46035	37.83677	1509.0
296	-4.0	7.0	-5.1	-75.46028	37.83674	1514.1
297	-4.4	7.0	-5.1	-75.46020	37.83670	1519.2
299	-4.6	6.9	-4.8	-75.46013	37.83666	1523.5
300	-4.8	6.6	-4.8	-75.46005	37.83661	1528.5
301	-5.4	6.9	-5.4	-75.45998	37.83656	1534.0
303	-6.0	7.3	-5.7	-75.45990	37.83651	1540.0
304	-6.6	7.7	-5.6	-75.45982	37.83645	1545.9
304	-6.8	7.9	-4.7	-75.45972	37.83639	1550.0
305	-7.0	7.6	-4.5	-75.45963	37.83632	1554.4
305	-6.9	7.7	-4.9	-75.45955	37.83626	1558.9
305	-6.9	7.8	-5.2	-75.45946	37.83620	1564.6
304	-6.9	8.0	-4.9	-75.45937	37.83613	1569.1
303	-6.6	8.1	-4.4	-75.45928	37.83607	1573.6
302	-6.1	7.9	-4.5	-75.45918	37.83601	1577.6
301	-5.4	7.8	-4.6	-75.45910	37.83596	1582.6
299	-4.8	7.7	-5.1	-75.45901	37.83592	1587.7
297	-4.1	7.8	-5.1	-75.45892	37.83588	1593.2
295	-3.5	8.3	-4.6	-75.45883	37.83585	1598.3
293	-2.7	8.9	-4.9	-75.45873	37.83582	1602.8
291	-2.1	10.0	-5.2	-75.45862	37.83580	1607.6
289	-1.8	11.6	-5.6	-75.45850	37.83578	1612.8
288	-2.1	13.1	-5.8	-75.45835	37.83577	1618.6
286	-3.4	14.3	-5.8	-75.45819	37.83574	1624.3
285	-4.9	14.1	-6.1	-75.45803	37.83571	1630.4
284	-5.7	12.5	-5.2	-75.45787	37.83566	1636.0
283	-4.9	10.8	-6.1	-75.45774	37.83561	1642.0
282	-3.5	9.9	-6.3	-75.45763	37.83557	1648.6
282	-2.1	10.3	-5.5	-75.45751	37.83555	1654.1
282	-0.9	11.4	-5.3	-75.45739	37.83554	1659.8
281	-0.3	12.9	-4.8	-75.45725	37.83554	1664.4
283	-4.3	9.8	-5.2	-75.45710	37.83554	1669.2
283	-1.2	14.2	-4.5	-75.45693	37.83553	1673.9
283	-1.2	13.8	-4.7	-75.45677	37.83552	1678.7
283	-0.7	13.2	-5.0	-75.45661	37.83551	1683.1
283	-0.5	11.9	-5.1	-75.45647	37.83551	1688.1
283	-1.1	10.9	-5.2	-75.45634	37.83549	1692.6
283	-2.0	9.8	-5.6	-75.45623	37.83548	1698.2
283	-3.2	9.3	-5.4	-75.45612	37.83546	1703.9
283	-4.4	9.0	-5.1	-75.45602	37.83542	1709.0
283	-6.0	9.8	-5.3	-75.45592	37.83537	1714.3
282	-7.1	11.7	-5.8	-75.45580	37.83531	1720.4
282	-6.8	13.9	-5.2	-75.45564	37.83524	1725.5
282	-5.3	15.4	-4.6	-75.45547	37.83519	1730.0
281	-3.2	15.7	-5.0	-75.45529	37.83515	1735.1
281	-1.7	15.0	-4.9	-75.45511	37.83513	1740.5
280	-0.8	14.3	-5.0	-75.45494	37.83512	1745.1
280	-0.2	13.4	-5.3	-75.45479	37.83512	1750.4
280	-0.4	13.2	-4.7	-75.45464	37.83512	1754.8
279	-0.1	13.5	-5.2	-75.45449	37.83513	1760.2
279	-0.1	14.9	-5.9	-75.45433	37.83513	1765.9
279	-0.7	16.0	-6.6	-75.45415	37.83512	1772.3
278	-1.7	16.8	-6.6	-75.45396	37.83511	1779.2
278	-2.6	17.1	-5.3	-75.45377	37.83509	1785.3
278	-3.7	18.0	-5.7	-75.45357	37.83506	1790.9
278	-4.6	18.6	-6.8	-75.45336	37.83502	1797.3
278	-4.4	17.6	-7.6	-75.45315	37.83498	1804.9
278	-3.2	16.3	-6.9	-75.45296	37.83494	1812.1
278	-2.3	15.4	-5.4	-75.45278	37.83491	1817.7
278	-1.3	14.4	-4.8	-75.45260	37.83489	1822.0
278	0.1	13.7	-5.9	-75.45245	37.83489	1827.4
279	0.5	13.6	-7.0	-75.45230	37.83490	1834.6
279	-1.2	14.9	-7.2	-75.45214	37.83490	1841.9
279	-3.6	15.7	-6.9	-75.45197	37.83488	1849.2
280	-5.4	16.6	-6.7	-75.45178	37.83483	1856.1
280	-5.4	17.4	-6.1	-75.45158	37.83478	1862.2
281	-4.3	18.1	-5.4	-75.45138	37.83473	1867.7
281	-2.7	18.6	-5.4	-75.45117	37.83470	1873.1
281	-1.1	17.5	-5.7	-75.45097	37.83468	1878.7
282	-0.8	15.8	-5.1	-75.45078	37.83468	1883.4
282	-2.1	14.4	-4.4	-75.45061	37.83467	1888.7
282	-4.0	13.5	-5.1	-75.45046	37.83464	1893.8
282	-5.8	13.4	-5.7	-75.45031	37.83459	1899.3
283	-6.3	14.7	-6.4	-75.45015	37.83453	1905.5
283	-4.4	15.4	-7.1	-75.44998	37.83448	1912.3
283	-2.6	15.4	-6.7	-75.44981	37.83446	1919.1
283	-1.8	16.0	-6.1	-75.44963	37.83444	1925.5
283	-1.6	17.4	-5.5	-75.44944	37.83443	1931.5
283	-2.7	18.5	-5.3	-75.44923	37.83441	1937.3
283	-4.4	19.1	-5.2	-75.44902	37.83438	1942.7
283	-6.2	18.1	-5.3	-75.44880	37.83433	1947.5
282	-7.0	16.0	-5.6	-75.44861	37.83426	1953.1
282	-6.0	14.6	-6.4	-75.44843	37.83420	1959.6
281	-4.0	14.4	-6.1	-75.44827	37.83416	1965.8
280	-1.5	15.4	-5.4	-75.44810	37.83413	1971.2
280	0.1	16.4	-5.5	-75.44792	37.83414	1976.2
279	-0.9	17.4	-5.1	-75.44773	37.83414	1981.5
278	-2.6	18.5	-4.7	-75.44752	37.83412	1986.3
278	-4.7	18.5	-5.2	-75.44731	37.83409	1991.7
277	-5.4	17.4	-5.7	-75.44710	37.83404	1997.2
276	-4.3	16.3	-6.0	-75.44691	37.83399	2003.0
275	-2.3	16.3	-5.6	-75.44673	37.83396	2008.2
274	0.1	17.0	-5.3	-75.44655	37.83396	2013.5
273	1.8	18.5	-4.9	-75.44635	37.83397	2018.8
273	2.1	20.5	-4.6	-75.44612	37.83399	2023.6
272	1.0	21.8	-4.7	-75.44588	37.83400	2028.1
271	-0.5	22.2	-5.0	-75.44562	37.83400	2033.1
271	-1.2	21.9	-5.0	-75.44537	37.83399	2038.3
270	-0.9	21.1	-4.9	-75.44513	37.83398	2043.3
270	-0.4	20.9	-5.1	-75.44489	37.83398	2048.5
269	0.2	21.7	-5.2	-75.44464	37.83398	2053.7
269	0.3	22.7	-5.0	-75.44439	37.83398	2058.7
268	0.1	22.9	-4.8	-75.44413	37.83398	2063.8
268	0.3	22.8	-4.5	-75.44387	37.83398	2068.5
268	0.7	22.6	-4.5	-75.44361	37.83399	2072.7
268	1.1	22.3	-4.6	-75.44335	37.83400	2077.4
268	1.3	22.2	-4.6	-75.44310	37.83401	2081.9
267	1.3	22.1	-4.5	-75.44285	37.83402	2086.2
267	1.0	21.9	-4.5	-75.44261	37.83403	2090.8
267	1.0	21.7	-4.4	-75.44236	37.83404	2095.3
267	1.3	21.4	-4.7	-75.44211	37.83405	2099.8
267	2.0	20.9	-4.8	-75.44187	37.83407	2104.4
267	2.8	20.3	-5.3	-75.44164	37.83409	2109.6
267	3.0	19.1	-5.2	-75.44142	37.83411	2114.8
267	2.8	17.9	-4.8	-75.44122	37.83414	2119.8
266	1.9	16.9	-5.4	-75.44103	37.83416	2125.1
266	0.3	16.8	-5.7	-75.44084	37.83417	2130.6
266	-1.5	17.8	-5.5	-75.44065	37.83416	2136.1
266	-2.0	19.8	-5.0	-75.44044	37.83414	2141.2
265	-1.7	21.7	-4.4	-75.44019	37.83412	2145.8
265	-0.3	22.9	-4.1	-75.43994	37.83411	2149.9
265	1.6	23.1	-4.1	-75.43967	37.83412	2153.7
265	3.2	23.1	-4.2	-75.43940	37.83414	2157.8
265	3.9	23.0	-4.1	-75.43914	37.83418	2161.9
265	4.0	21.7	-4.2	-75.43889	37.83422	2166.1
265	3.5	19.9	-4.4	-75.43866	37.83425	2170.4
265	2.9	18.7	-4.6	-75.43844	37.83428	2174.9
265	2.1	17.6	-4.2	-75.43824	37.83430	2179.4
265	1.8	17.4	-4.5	-75.43805	37.83432	2184.2
265	1.8	17.8	-4.9	-75.43786	37.83434	2189.2
265	2.0	18.6	-4.7	-75.43765	37.83436	2193.8
265	2.3	19.4	-4.6	-75.43744	37.83438	2198.5
265	3.0	19.9	-4.8	-75.43721	37.83440	2202.9
265	3.2	20.7	-4.5	-75.43698	37.83443	2207.8
265	3.0	21.7	-4.8	-75.43674	37.83446	2212.5
266	2.3	23.1	-5.2	-75.43648	37.83448	2217.5
266	1.0	23.6	-5.0	-75.43621	37.83450	2222.7
266	-0.6	24.0	-4.5	-75.43593	37.83449	2227.0
267	-1.7	23.5	-4.5	-75.43566	37.83448	2232.2
268	-2.0	22.2	-5.3	-75.43540	37.83446	2237.1
268	-1.1	21.0	-5.4	-75.43516	37.83444	2242.5
269	0.3	20.6	-4.9	-75.43493	37.83444	2248.1
270	1.8	20.8	-4.1	-75.43470	37.83445	2252.3
270	3.0	22.1	-4.9	-75.43446	37.83447	2257.4
271	3.2	23.8	-4.9	-75.43419	37.83450	2261.9
272	2.6	25.3	-4.4	-75.43391	37.83453	2266.4
272	1.3	26.2	-4.3	-75.43361	37.83455	2270.8
273	-0.1	26.5	-4.6	-75.43331	37.83455	2275.5
273	-1.3	25.8	-4.9	-75.43301	37.83454	2280.1
273	-2.6	24.6	-4.8	-75.43272	37.83452	2284.8
274	-3.8	23.4	-4.5	-75.43245	37.83449	2289.3
274	-4.2	22.4	-4.7	-75.43219	37.83444	2293.5
274	-3.9	22.0	-4.8	-75.43194	37.83441	2297.8
274	-3.4	22.0	-4.4	-75.43169	37.83437	2302.5
274	-3.2	22.1	-4.3	-75.43144	37.83434	2307.3
274	-3.2	22.1	-4.0	-75.43119	37.83431	2310.7
274	-4.0	22.4	-5.0	-75.43094	37.83428	2315.5
273	-4.0	24.1	-5.9	-75.43068	37.83424	2321.1
273	-3.3	25.3	-5.8	-75.43040	37.83420	2326.8
