P	T	Dewp.	Hu	Wd	Ws	Alt	Lat.	Long.	Time
986.0	-0.2	-12.6	38	335	3.1	219.0	37.843062	-75.478377	0.6333333333333333
985.3	-0.2	-12.6	38	335	3.1	225.0	37.843039	-75.478361	0.65
984.6	-0.3	-12.6	38	334	3.1	231.0	37.843016	-75.478346	0.6666666666666666
983.9	-0.3	-12.7	39	334	3.0	236.0	37.842993	-75.47833	0.6833333333333333
983.2	-0.4	-12.7	39	333	3.0	242.0	37.842970	-75.478314	0.7
982.6	-0.4	-12.7	39	333	3.0	247.0	37.842947	-75.478298	0.7166666666666667
981.9	-0.5	-12.7	39	333	3.0	253.0	37.842925	-75.478282	0.7333333333333333
981.2	-0.5	-12.8	39	332	3.0	259.0	37.842902	-75.478266	0.75
980.5	-0.6	-12.8	39	332	2.9	264.0	37.842874	-75.47825	0.7666666666666667
979.8	-0.6	-12.8	39	331	2.9	270.0	37.842846	-75.478233	0.7833333333333333
979.1	-0.7	-12.8	39	331	2.9	275.0	37.842818	-75.478216	0.8
978.4	-0.7	-12.8	39	330	2.9	281.0	37.842791	-75.478199	0.8166666666666667
977.8	-0.8	-12.8	39	330	2.9	287.0	37.842763	-75.478182	0.8333333333333334
977.1	-0.9	-12.9	39	329	2.8	292.0	37.842735	-75.478165	0.85
976.4	-0.9	-12.9	40	329	2.8	298.0	37.842707	-75.478148	0.8666666666666667
975.7	-1.0	-12.9	40	329	2.8	303.0	37.842679	-75.478131	0.8833333333333333
975.0	-1.0	-12.9	40	328	2.8	309.0	37.842651	-75.478114	0.9
974.4	-1.1	-12.9	40	328	2.8	314.0	37.842624	-75.478098	0.9166666666666666
973.7	-1.1	-12.9	40	327	2.7	320.0	37.842596	-75.478081	0.9333333333333333
973.0	-1.2	-12.9	40	327	2.7	325.0	37.842568	-75.478064	0.95
972.3	-1.2	-12.9	40	326	2.7	331.0	37.842540	-75.478047	0.9666666666666667
971.7	-1.3	-12.9	40	326	2.7	337.0	37.842512	-75.47803	0.9833333333333333
971.0	-1.3	-13.0	41	325	2.7	342.0	37.842485	-75.478013	1.0
970.3	-1.4	-13.0	41	325	2.8	348.0	37.842457	-75.477996	1.0166666666666666
969.6	-1.5	-13.0	41	326	2.9	353.0	37.842429	-75.477979	1.0333333333333334
968.9	-1.5	-13.1	41	326	3.0	359.0	37.842401	-75.477962	1.05
968.3	-1.6	-13.1	41	326	3.1	364.0	37.842373	-75.477945	1.0666666666666667
967.6	-1.6	-13.2	41	327	3.2	370.0	37.842345	-75.477929	1.0833333333333333
966.9	-1.6	-13.2	41	327	3.3	375.0	37.842318	-75.477912	1.1
966.2	-1.7	-13.2	41	327	3.4	381.0	37.842290	-75.477895	1.1166666666666667
965.6	-1.7	-13.2	41	327	3.5	387.0	37.842262	-75.477878	1.1333333333333333
964.9	-1.7	-13.2	41	327	3.6	392.0	37.842234	-75.477861	1.15
964.2	-1.7	-13.2	41	328	3.7	398.0	37.842206	-75.477844	1.1666666666666667
963.6	-1.8	-13.2	41	328	3.8	403.0	37.842178	-75.477827	1.1833333333333333
962.9	-1.8	-13.3	41	328	3.9	409.0	37.842151	-75.47781	1.2
962.2	-1.9	-13.4	41	328	4.0	414.0	37.842123	-75.477793	1.2166666666666666
961.5	-2.0	-13.4	41	328	4.1	420.0	37.842095	-75.477776	1.2333333333333334
960.9	-2.1	-13.5	41	328	4.2	425.0	37.842067	-75.47776	1.25
960.2	-2.2	-13.6	41	329	4.3	431.0	37.842034	-75.477737	1.2666666666666666
959.5	-2.2	-13.7	41	329	4.4	437.0	37.841974	-75.477686	1.2833333333333334
958.8	-2.3	-13.7	41	329	4.5	442.0	37.841913	-75.477634	1.3
958.2	-2.3	-13.7	41	329	4.6	448.0	37.841853	-75.477583	1.3166666666666667
957.5	-2.4	-13.8	41	329	4.7	453.0	37.841793	-75.477532	1.3333333333333333
956.8	-2.4	-13.8	41	329	4.8	459.0	37.841732	-75.477481	1.35
956.1	-2.4	-13.9	41	329	4.9	465.0	37.841672	-75.477429	1.3666666666666667
955.5	-2.5	-14.0	41	329	5.0	470.0	37.841612	-75.477378	1.3833333333333333
954.8	-2.5	-14.1	40	330	5.1	476.0	37.841552	-75.477327	1.4
954.1	-2.5	-14.2	40	330	5.2	481.0	37.841491	-75.477276	1.4166666666666667
953.5	-2.5	-14.3	40	330	5.3	487.0	37.841431	-75.477224	1.4333333333333333
952.8	-2.6	-14.4	40	330	5.4	493.0	37.841371	-75.477173	1.45
952.1	-2.6	-14.5	39	330	5.5	498.0	37.841311	-75.477122	1.4666666666666666
951.4	-2.6	-14.5	39	330	5.6	504.0	37.841250	-75.477071	1.4833333333333334
950.8	-2.5	-14.6	39	330	5.7	509.0	37.841190	-75.477019	1.5
950.1	-2.5	-14.7	38	330	5.8	515.0	37.841130	-75.476968	1.5166666666666666
949.4	-2.5	-14.7	38	329	6.0	520.0	37.841069	-75.476917	1.5333333333333334
948.8	-2.5	-14.8	38	329	6.1	526.0	37.841009	-75.476866	1.55
948.1	-2.5	-14.9	38	328	6.2	532.0	37.840949	-75.476814	1.5666666666666667
947.4	-2.5	-15.0	37	328	6.4	537.0	37.840889	-75.476763	1.5833333333333333
946.8	-2.5	-15.1	37	327	6.5	543.0	37.840828	-75.476712	1.6
946.1	-2.5	-15.2	37	327	6.7	548.0	37.840768	-75.47666	1.6166666666666667
945.4	-2.5	-15.3	36	326	6.8	554.0	37.840708	-75.476609	1.6333333333333333
944.8	-2.5	-15.4	36	326	6.9	560.0	37.840648	-75.476558	1.65
944.1	-2.4	-15.4	36	326	7.1	565.0	37.840587	-75.476507	1.6666666666666667
943.4	-2.3	-15.4	36	325	7.2	571.0	37.840527	-75.476455	1.6833333333333333
942.8	-2.2	-15.3	36	325	7.4	576.0	37.840467	-75.476404	1.7
942.1	-2.2	-15.3	36	325	7.5	582.0	37.840406	-75.476353	1.7166666666666666
941.5	-2.1	-15.3	35	324	7.6	588.0	37.840346	-75.476302	1.7333333333333334
940.8	-2.0	-15.3	35	324	7.8	593.0	37.840286	-75.47625	1.75
940.1	-2.0	-15.3	35	324	7.9	599.0	37.840226	-75.476199	1.7666666666666666
939.5	-1.9	-15.3	35	324	8.1	604.0	37.840175	-75.476137	1.7833333333333334
938.8	-1.9	-15.3	35	323	8.2	610.0	37.840131	-75.476065	1.8
938.2	-1.9	-15.3	35	323	8.3	615.0	37.840088	-75.475993	1.8166666666666667
937.6	-1.8	-15.3	35	323	8.5	620.0	37.840045	-75.475922	1.8333333333333333
937.0	-1.9	-15.4	34	322	8.4	626.0	37.840001	-75.47585	1.85
936.3	-1.9	-15.5	34	321	8.4	631.0	37.839958	-75.475778	1.8666666666666667
935.7	-1.9	-15.6	34	321	8.4	636.0	37.839915	-75.475707	1.8833333333333333
935.1	-1.9	-15.6	34	320	8.3	642.0	37.839871	-75.475635	1.9
934.4	-2.0	-15.7	34	320	8.3	647.0	37.839828	-75.475563	1.9166666666666667
933.8	-2.0	-15.8	34	319	8.3	652.0	37.839785	-75.475492	1.9333333333333333
933.2	-2.0	-15.8	34	318	8.2	658.0	37.839741	-75.47542	1.95
932.6	-2.0	-15.8	34	317	8.2	663.0	37.839698	-75.475348	1.9666666666666666
931.9	-2.0	-15.8	34	317	8.2	668.0	37.839655	-75.475277	1.9833333333333334
931.3	-2.0	-15.8	34	316	8.2	673.0	37.839611	-75.475205	2.0
930.7	-2.0	-15.8	34	315	8.1	679.0	37.839568	-75.475133	2.0166666666666666
930.1	-2.0	-15.8	34	315	8.1	684.0	37.839525	-75.475062	2.033333333333333
929.4	-2.0	-15.8	34	314	8.1	689.0	37.839481	-75.47499	2.05
928.8	-2.0	-15.8	34	313	8.1	695.0	37.839438	-75.474918	2.066666666666667
928.2	-2.1	-15.8	34	313	8.0	700.0	37.839395	-75.474847	2.0833333333333335
927.6	-2.1	-15.7	34	312	8.0	705.0	37.839351	-75.474775	2.1
927.0	-2.2	-15.7	34	311	8.0	711.0	37.839308	-75.474703	2.1166666666666667
926.3	-2.2	-15.7	35	310	8.0	716.0	37.839265	-75.474632	2.1333333333333333
925.7	-2.3	-15.6	35	310	8.0	721.0	37.839221	-75.47456	2.15
925.1	-2.3	-15.6	35	309	8.0	727.0	37.839178	-75.474488	2.1666666666666665
924.5	-2.3	-15.5	35	309	7.9	732.0	37.839134	-75.474417	2.183333333333333
923.9	-2.4	-15.5	36	309	7.9	737.0	37.839091	-75.474345	2.2
923.2	-2.4	-15.4	36	308	7.9	743.0	37.839048	-75.474274	2.216666666666667
922.6	-2.5	-15.4	36	308	7.9	748.0	37.839004	-75.474202	2.2333333333333334
922.0	-2.5	-15.4	36	308	7.9	753.0	37.838961	-75.47413	2.25
921.4	-2.5	-15.3	36	308	7.8	759.0	37.838918	-75.474059	2.2666666666666666
920.8	-2.5	-15.3	37	308	7.8	764.0	37.838878	-75.473988	2.283333333333333
920.2	-2.6	-15.2	37	307	7.8	769.0	37.838840	-75.473919	2.3
919.6	-2.6	-15.2	37	307	7.8	774.0	37.838802	-75.473849	2.316666666666667
919.0	-2.6	-15.2	37	307	7.8	779.0	37.838764	-75.473779	2.3333333333333335
918.4	-2.6	-15.1	37	307	7.7	784.0	37.838726	-75.47371	2.35
917.8	-2.7	-15.1	37	307	7.7	790.0	37.838688	-75.47364	2.3666666666666667
917.2	-2.7	-15.1	38	306	7.7	795.0	37.838650	-75.47357	2.3833333333333333
916.6	-2.8	-15.1	38	306	7.7	800.0	37.838612	-75.473501	2.4
916.0	-2.8	-15.2	38	306	7.7	805.0	37.838574	-75.473431	2.4166666666666665
915.4	-2.9	-15.2	38	306	7.7	810.0	37.838536	-75.473361	2.433333333333333
914.8	-2.9	-15.2	38	306	7.6	815.0	37.838498	-75.473292	2.45
914.2	-3.0	-15.3	38	305	7.6	820.0	37.838460	-75.473222	2.466666666666667
913.7	-3.1	-15.3	38	305	7.6	826.0	37.838421	-75.473152	2.4833333333333334
913.1	-3.1	-15.4	38	305	7.6	831.0	37.838383	-75.473083	2.5
912.5	-3.1	-15.4	38	305	7.6	836.0	37.838345	-75.473013	2.5166666666666666
911.9	-3.2	-15.5	38	305	7.6	841.0	37.838307	-75.472943	2.533333333333333
911.3	-3.2	-15.5	38	305	7.5	846.0	37.838269	-75.472874	2.55
910.7	-3.2	-15.6	38	304	7.5	851.0	37.838231	-75.472804	2.566666666666667
910.1	-3.3	-15.6	38	304	7.5	856.0	37.838193	-75.472734	2.5833333333333335
909.5	-3.3	-15.7	37	304	7.5	861.0	37.838155	-75.472665	2.6
908.9	-3.3	-15.8	37	304	7.5	867.0	37.838117	-75.472595	2.6166666666666667
908.3	-3.3	-15.8	37	304	7.5	872.0	37.838079	-75.472525	2.6333333333333333
907.7	-3.4	-15.9	37	304	7.5	877.0	37.838041	-75.472456	2.65
907.2	-3.4	-15.9	37	303	7.5	882.0	37.838003	-75.472386	2.6666666666666665
906.6	-3.4	-16.0	37	303	7.5	887.0	37.837965	-75.472316	2.683333333333333
906.0	-3.4	-16.1	37	303	7.5	892.0	37.837927	-75.472247	2.7
905.4	-3.4	-16.2	36	303	7.4	897.0	37.837889	-75.472177	2.716666666666667
904.8	-3.4	-16.3	36	303	7.4	903.0	37.837851	-75.472108	2.7333333333333334
904.2	-3.5	-16.4	36	303	7.4	908.0	37.837813	-75.472038	2.75
903.6	-3.5	-16.5	36	302	7.4	913.0	37.837775	-75.471968	2.7666666666666666
903.0	-3.5	-16.6	35	302	7.4	918.0	37.837737	-75.471899	2.783333333333333
902.5	-3.6	-16.8	35	302	7.4	923.0	37.837709	-75.471821	2.8
901.8	-3.6	-16.9	35	302	7.4	928.0	37.837696	-75.471733	2.816666666666667
901.2	-3.6	-17.1	34	302	7.4	934.0	37.837682	-75.471646	2.8333333333333335
900.6	-3.7	-17.3	34	301	7.4	939.0	37.837668	-75.471558	2.85
900.0	-3.7	-17.4	33	300	7.4	944.0	37.837655	-75.471471	2.8666666666666667
899.4	-3.8	-17.6	33	299	7.4	950.0	37.837641	-75.471383	2.8833333333333333
898.8	-3.8	-17.7	33	298	7.4	955.0	37.837628	-75.471295	2.9
898.2	-3.8	-17.9	32	297	7.4	960.0	37.837614	-75.471208	2.9166666666666665
897.6	-3.8	-18.0	32	296	7.5	966.0	37.837600	-75.47112	2.933333333333333
897.0	-3.8	-18.1	32	295	7.5	971.0	37.837587	-75.471032	2.95
896.4	-3.9	-18.2	32	294	7.5	976.0	37.837573	-75.470945	2.966666666666667
895.8	-3.9	-18.3	31	293	7.5	982.0	37.837560	-75.470857	2.9833333333333334
895.2	-3.9	-18.3	31	292	7.5	987.0	37.837546	-75.47077	3.0
894.6	-3.9	-18.4	31	292	7.5	992.0	37.837533	-75.470682	3.0166666666666666
894.0	-3.9	-18.4	31	291	7.5	997.0	37.837519	-75.470594	3.033333333333333
893.4	-4.0	-18.4	31	290	7.5	1003.0	37.837505	-75.470507	3.05
892.8	-4.0	-18.4	31	289	7.5	1008.0	37.837492	-75.470419	3.066666666666667
892.2	-4.0	-18.4	31	288	7.5	1013.0	37.837478	-75.470331	3.0833333333333335
891.6	-4.0	-18.4	31	287	7.5	1019.0	37.837465	-75.470244	3.1
891.0	-4.1	-18.4	32	286	7.5	1024.0	37.837451	-75.470156	3.1166666666666667
890.4	-4.1	-18.3	32	285	7.6	1029.0	37.837437	-75.470069	3.1333333333333333
889.8	-4.1	-18.3	32	284	7.6	1035.0	37.837424	-75.469981	3.15
889.2	-4.1	-18.3	32	283	7.6	1040.0	37.837410	-75.469893	3.1666666666666665
888.6	-4.1	-18.3	32	283	7.7	1045.0	37.837397	-75.469806	3.183333333333333
888.0	-4.2	-18.2	32	282	7.8	1051.0	37.837383	-75.469718	3.2
887.4	-4.2	-18.2	32	282	7.8	1056.0	37.837369	-75.46963	3.216666666666667
886.8	-4.2	-18.2	32	281	7.9	1061.0	37.837356	-75.469543	3.2333333333333334
886.2	-4.2	-18.3	32	280	8.0	1066.0	37.837342	-75.469455	3.25
885.6	-4.2	-18.3	32	280	8.0	1072.0	37.837329	-75.469368	3.2666666666666666
885.0	-4.2	-18.4	32	279	8.1	1077.0	37.837315	-75.46928	3.283333333333333
884.4	-4.2	-18.4	32	279	8.2	1082.0	37.837301	-75.469192	3.3
883.9	-4.2	-18.5	32	278	8.3	1087.0	37.837301	-75.469086	3.316666666666667
883.3	-4.2	-18.5	31	277	8.3	1092.0	37.837302	-75.468978	3.3333333333333335
882.8	-4.1	-18.6	31	277	8.4	1097.0	37.837303	-75.46887	3.35
882.3	-4.1	-18.7	31	276	8.5	1102.0	37.837304	-75.468762	3.3666666666666667
881.7	-4.1	-18.8	31	276	8.6	1106.0	37.837304	-75.468654	3.3833333333333333
881.2	-4.1	-18.9	30	275	8.7	1111.0	37.837305	-75.468546	3.4
880.7	-4.2	-19.1	30	275	8.7	1116.0	37.837306	-75.468439	3.4166666666666665
880.1	-4.2	-19.3	30	274	8.8	1121.0	37.837306	-75.468331	3.433333333333333
879.6	-4.2	-19.4	29	274	8.9	1126.0	37.837307	-75.468223	3.45
879.1	-4.3	-19.6	29	273	9.0	1130.0	37.837308	-75.468115	3.466666666666667
878.5	-4.3	-19.8	29	273	9.1	1135.0	37.837309	-75.468007	3.4833333333333334
878.0	-4.4	-20.0	28	272	9.1	1140.0	37.837309	-75.467899	3.5
877.5	-4.4	-20.1	28	272	9.2	1145.0	37.837310	-75.467791	3.5166666666666666
876.9	-4.4	-20.3	28	272	9.2	1150.0	37.837311	-75.467683	3.533333333333333
876.4	-4.5	-20.4	27	272	9.2	1154.0	37.837311	-75.467576	3.55
875.9	-4.5	-20.6	27	272	9.2	1159.0	37.837312	-75.467468	3.566666666666667
875.3	-4.5	-20.7	27	272	9.3	1164.0	37.837313	-75.46736	3.5833333333333335
874.8	-4.6	-20.9	26	272	9.3	1169.0	37.837314	-75.467252	3.6
874.3	-4.6	-21.0	26	272	9.3	1174.0	37.837314	-75.467144	3.6166666666666667
873.7	-4.7	-21.1	26	272	9.3	1178.0	37.837315	-75.467036	3.6333333333333333
873.2	-4.7	-21.3	26	272	9.3	1183.0	37.837316	-75.466928	3.65
872.7	-4.7	-21.4	26	272	9.4	1188.0	37.837317	-75.46682	3.6666666666666665
872.1	-4.8	-21.5	25	272	9.4	1193.0	37.837317	-75.466713	3.683333333333333
871.6	-4.8	-21.6	25	272	9.4	1198.0	37.837318	-75.466605	3.7
871.1	-4.9	-21.8	25	272	9.4	1202.0	37.837319	-75.466497	3.716666666666667
870.5	-4.9	-21.8	25	272	9.4	1207.0	37.837319	-75.466389	3.7333333333333334
870.0	-5.0	-21.9	25	272	9.5	1212.0	37.837320	-75.466281	3.75
869.5	-5.0	-22.0	25	272	9.5	1217.0	37.837321	-75.466173	3.7666666666666666
868.9	-5.1	-22.1	25	272	9.5	1221.0	37.837322	-75.466065	3.783333333333333
868.4	-5.1	-22.2	24	271	9.5	1226.0	37.837322	-75.465958	3.8
867.9	-5.1	-22.3	24	271	9.5	1231.0	37.837323	-75.46585	3.816666666666667
867.3	-5.2	-22.4	24	271	9.6	1236.0	37.837324	-75.465754	3.8333333333333335
866.8	-5.2	-22.4	24	271	9.5	1241.0	37.837325	-75.465658	3.85
866.2	-5.3	-22.5	24	271	9.4	1246.0	37.837326	-75.465563	3.8666666666666667
865.7	-5.3	-22.6	24	270	9.3	1251.0	37.837327	-75.465468	3.8833333333333333
865.2	-5.3	-22.7	24	270	9.3	1256.0	37.837328	-75.465373	3.9
864.6	-5.4	-22.7	24	270	9.2	1261.0	37.837329	-75.465278	3.9166666666666665
864.1	-5.4	-22.8	24	269	9.1	1266.0	37.837330	-75.465182	3.933333333333333
863.5	-5.5	-22.9	24	269	9.0	1271.0	37.837332	-75.465087	3.95
863.0	-5.5	-23.0	24	268	9.0	1276.0	37.837333	-75.464992	3.966666666666667
862.4	-5.5	-23.0	23	268	8.9	1281.0	37.837334	-75.464897	3.9833333333333334
861.9	-5.6	-23.1	23	267	8.8	1286.0	37.837335	-75.464801	4.0
861.3	-5.6	-23.2	23	267	8.7	1291.0	37.837336	-75.464706	4.016666666666667
860.8	-5.7	-23.3	23	267	8.7	1295.0	37.837337	-75.464611	4.033333333333333
860.3	-5.7	-23.4	23	266	8.6	1300.0	37.837338	-75.464516	4.05
859.7	-5.7	-23.4	23	266	8.5	1305.0	37.837339	-75.464421	4.066666666666666
859.2	-5.8	-23.5	23	265	8.5	1310.0	37.837340	-75.464325	4.083333333333333
858.6	-5.8	-23.6	23	265	8.4	1315.0	37.837341	-75.46423	4.1
858.1	-5.9	-23.7	23	264	8.3	1320.0	37.837342	-75.464135	4.116666666666666
857.5	-5.9	-23.8	22	264	8.2	1325.0	37.837343	-75.46404	4.133333333333334
857.0	-5.9	-23.9	22	263	8.2	1330.0	37.837344	-75.463944	4.15
856.5	-6.0	-24.0	22	263	8.1	1335.0	37.837345	-75.463849	4.166666666666667
855.9	-6.0	-24.2	22	264	8.1	1340.0	37.837346	-75.463754	4.183333333333334
855.4	-6.1	-24.3	22	265	8.2	1345.0	37.837348	-75.463659	4.2
854.8	-6.1	-24.4	22	266	8.2	1350.0	37.837349	-75.463564	4.216666666666667
854.3	-6.2	-24.6	21	267	8.4	1355.0	37.837350	-75.463468	4.233333333333333
853.7	-6.2	-24.7	21	269	8.5	1360.0	37.837351	-75.463373	4.25
853.2	-6.2	-24.9	21	270	8.5	1365.0	37.837352	-75.463278	4.266666666666667
852.7	-6.3	-25.1	21	271	8.6	1370.0	37.837353	-75.463183	4.283333333333333
852.1	-6.3	-25.3	20	272	8.7	1375.0	37.837354	-75.463087	4.3
851.6	-6.3	-25.5	20	273	8.7	1380.0	37.837355	-75.462992	4.316666666666666
851.0	-6.4	-25.8	19	274	8.8	1385.0	37.837327	-75.462889	4.333333333333333
850.5	-6.4	-26.1	19	275	8.9	1390.0	37.837293	-75.462785	4.35
849.9	-6.4	-26.5	18	276	9.0	1395.0	37.837260	-75.46268	4.366666666666666
849.4	-6.4	-26.8	18	277	9.0	1400.0	37.837226	-75.462575	4.383333333333334
848.8	-6.5	-27.3	17	278	9.1	1405.0	37.837193	-75.462471	4.4
848.3	-6.5	-27.7	16	279	9.2	1410.0	37.837159	-75.462366	4.416666666666667
847.7	-6.5	-28.2	16	280	9.1	1415.0	37.837125	-75.462262	4.433333333333334
847.2	-6.5	-28.7	15	281	9.2	1420.0	37.837092	-75.462157	4.45
846.6	-6.4	-29.2	14	281	9.3	1426.0	37.837058	-75.462053	4.466666666666667
846.1	-6.4	-29.7	13	282	9.4	1431.0	37.837025	-75.461948	4.483333333333333
845.5	-6.3	-30.2	13	283	9.5	1436.0	37.836991	-75.461844	4.5
845.0	-6.2	-30.7	12	284	9.5	1441.0	37.836957	-75.461739	4.516666666666667
844.4	-6.2	-31.2	12	284	9.5	1446.0	37.836924	-75.461634	4.533333333333333
843.9	-6.1	-31.6	11	285	9.5	1451.0	37.836890	-75.46153	4.55
843.3	-6.1	-32.1	10	285	9.5	1456.0	37.836856	-75.461425	4.566666666666666
842.8	-6.0	-32.5	10	286	9.5	1461.0	37.836823	-75.461321	4.583333333333333
842.2	-6.0	-32.8	10	286	9.5	1466.0	37.836789	-75.461216	4.6
841.7	-6.0	-33.0	9	287	9.5	1471.0	37.836756	-75.461112	4.616666666666666
841.1	-5.9	-33.1	9	287	9.5	1476.0	37.836722	-75.461007	4.633333333333334
840.6	-5.9	-33.2	9	288	9.5	1481.0	37.836688	-75.460902	4.65
840.0	-5.9	-33.1	9	288	9.6	1487.0	37.836655	-75.460798	4.666666666666667
839.5	-5.8	-33.0	9	289	9.6	1492.0	37.836621	-75.460693	4.683333333333334
838.9	-5.8	-32.9	9	289	9.6	1497.0	37.836588	-75.460589	4.7
838.4	-5.7	-32.7	10	290	9.6	1502.0	37.836554	-75.460484	4.716666666666667
837.9	-5.7	-32.5	10	290	9.6	1507.0	37.836520	-75.46038	4.733333333333333
837.3	-5.6	-32.2	10	291	9.6	1512.0	37.836487	-75.460275	4.75
836.8	-5.5	-32.0	10	291	9.6	1517.0	37.836453	-75.460171	4.766666666666667
836.2	-5.5	-31.8	10	292	9.6	1522.0	37.836419	-75.460066	4.783333333333333
835.7	-5.5	-31.5	11	292	9.6	1527.0	37.836386	-75.459961	4.8
835.1	-5.5	-31.4	11	293	9.7	1532.0	37.836352	-75.459857	4.816666666666666
834.6	-5.5	-31.2	11	293	9.7	1538.0	37.836318	-75.459747	4.833333333333333
834.0	-5.5	-31.1	11	293	9.7	1543.0	37.836284	-75.459631	4.85
833.5	-5.5	-31.0	11	293	9.8	1548.0	37.836250	-75.459515	4.866666666666666
832.9	-5.5	-30.9	11	293	9.9	1553.0	37.836217	-75.459399	4.883333333333334
832.4	-5.5	-30.9	11	293	10.0	1558.0	37.836183	-75.459283	4.9
831.8	-5.5	-30.8	11	292	10.0	1563.0	37.836149	-75.459167	4.916666666666667
831.3	-5.5	-30.8	11	292	10.1	1569.0	37.836115	-75.459052	4.933333333333334
830.8	-5.5	-30.7	11	292	10.2	1574.0	37.836081	-75.458936	4.95
830.2	-5.5	-30.7	11	292	10.2	1579.0	37.836047	-75.45882	4.966666666666667
829.7	-5.6	-30.7	11	292	10.3	1584.0	37.836013	-75.458704	4.983333333333333
829.1	-5.6	-30.7	11	292	10.4	1589.0	37.835979	-75.458588	5.0
828.6	-5.6	-30.8	11	292	10.5	1594.0	37.835945	-75.458472	5.016666666666667
828.0	-5.6	-30.8	11	291	10.5	1600.0	37.835911	-75.458356	5.033333333333333
827.5	-5.6	-30.8	11	291	10.6	1605.0	37.835877	-75.45824	5.05
826.9	-5.6	-30.9	11	291	10.7	1610.0	37.835843	-75.458124	5.066666666666666
826.4	-5.6	-30.9	11	291	10.7	1615.0	37.835809	-75.458008	5.083333333333333
825.8	-5.6	-31.0	11	291	10.8	1620.0	37.835775	-75.457892	5.1
825.3	-5.6	-31.0	11	291	10.9	1626.0	37.835741	-75.457776	5.116666666666666
824.7	-5.6	-31.1	11	291	11.0	1631.0	37.835707	-75.45766	5.133333333333334
824.2	-5.6	-31.1	11	291	11.0	1636.0	37.835673	-75.457544	5.15
823.7	-5.6	-31.1	11	291	11.1	1641.0	37.835639	-75.457428	5.166666666666667
823.1	-5.6	-31.2	11	290	11.2	1646.0	37.835605	-75.457312	5.183333333333334
822.6	-5.6	-31.2	11	289	11.4	1651.0	37.835571	-75.457196	5.2
